id,category,gold,pred,correct,cost_usd
rebuild:010,unknown,D,,0,0.000000
rebuild:011,unknown,C,,0,0.000000
rebuild:012,unknown,B,,0,0.000000
rebuild:013,unknown,D,,0,0.000000
rebuild:014,unknown,A,,0,0.000000
rebuild:015,unknown,C,,0,0.000000
rebuild:016,unknown,D,,0,0.000000
rebuild:017,unknown,D,,0,0.000000
rebuild:018,unknown,A,,0,0.000000
rebuild:019,unknown,D,,0,0.000000
rebuild:001,unknown,C,,0,0.000000
rebuild:002,unknown,D,,0,0.000000
rebuild:003,unknown,B,,0,0.000000
rebuild:004,unknown,D,,0,0.000000
rebuild:005,unknown,D,,0,0.000000
rebuild:006,unknown,C,,0,0.000000
rebuild:007,unknown,D,,0,0.000000
rebuild:020,unknown,C,,0,0.000000
rebuild:008,unknown,C,,0,0.000000
rebuild:009,unknown,B,,0,0.000000
